337139,-25985
337142,-27460
337145,-29825
337149,-31262
337152,-30351
337155,-27794
337158,-26423
337161,-26706
337164,-29029
337167,-31056
337171,-30525
337174,-28434
337177,-26323
337180,-26144
337183,-28221
337186,-30846
337189,-31329
337193,-29628
337196,-27307
337199,-25932
337202,-27803
337205,-29952
337208,-31011
337211,-30352
337215,-27917
337218,-26480
337221,-26951
337224,-29240
337227,-31137
337230,-30678
337233,-28813
337237,-26608
337240,-25953
337243,-28150
337246,-30653
337249,-31236
337252,-29465
337255,-27224
337258,-26059
337262,-26984
337265,-29645
337268,-31220
337271,-30121
337274,-27884
337277,-26283
337280,-26976
337284,-28959
337287,-30656
337290,-30727
337293,-28630
337296,-26673
337299,-26340
337302,-28009
337306,-30394
337309,-31037
337312,-29642
337315,-27387
337318,-26210
337321,-27245
337324,-29482
337328,-31311
337331,-30538
337334,-27837
337337,-26094
337340,-26605
337343,-28982
337346,-30971
337350,-30864
337353,-28599
337356,-26314
337359,-26217
337362,-27948
337365,-30491
337368,-31096
337372,-29527
337375,-27358
337378,-26363
337381,-27356
337384,-29459
337387,-30986
337390,-30387
337394,-28162
337397,-26325
337400,-26358
337403,-28627
337406,-30680
337409,-30969
337412,-29026
337416,-26713
337419,-26094
337422,-27457
337425,-29974
337428,-30953
337431,-29768
337434,-27547
337438,-26130
337441,-26721
337444,-29098
337447,-30963
337450,-30640
337453,-28251
337456,-26396
337460,-26629
337463,-28490
337466,-30779
337469,-30988
337472,-29117
337475,-26708
337478,-25903
337481,-27630
337485,-30105
337488,-31048
337491,-30017
337494,-27742
337497,-26383
337500,-27004
337503,-29385
337507,-30996
337510,-30261
337513,-28428
337516,-26523
337519,-26486
337522,-28291
337525,-30360
337529,-30935
337532,-28934
337535,-26833
337538,-26046
337541,-27623
337544,-29998
337547,-31043
337551,-30250
337554,-27811
337557,-26434
337560,-27091
337563,-29158
337566,-31091
337569,-30808
337573,-28497
337576,-26438
337579,-26307
337582,-28490
337585,-30641
337588,-31272
337591,-29579
337595,-26882
