389460,344597
389463,345176
389466,344277
389469,342576
389472,341799
389476,341968
389479,342817
389482,343838
389485,344277
389488,343788
389491,343355
389494,344064
389498,344879
389501,344416
389504,342849
389507,340998
389510,340659
389513,341914
389516,344539
389520,346200
389523,346355
389526,344218
389529,342009
389532,341108
389535,341877
389538,342938
389542,343759
389545,343658
389548,343235
389551,343076
389554,343963
389557,344344
389560,344101
389564,342654
389567,340799
389570,340646
389573,342517
389576,345216
389579,346511
389582,345336
389586,342403
389589,340240
389592,340339
389595,342850
389598,345719
389601,346426
389604,344709
389608,342322
389611,340959
389614,341402
389617,343455
389620,345216
389623,344919
389626,343300
389630,342203
389633,342686
389636,344259
389639,345212
389642,344049
389645,341672
389648,340317
389652,341254
389655,344207
389658,347276
389661,347367
389664,344688
389667,341057
389670,339380
389674,340811
389677,343850
389680,346153
389683,346254
389686,343845
389689,341102
389692,340291
389695,342680
389699,345733
389702,346654
389705,344651
389708,341730
389711,339951
389714,340418
389717,342789
389721,345070
389724,346487
389727,344324
389730,341107
389733,340334
389736,342341
389739,346070
389743,347235
389746,344900
389749,341527
389752,339182
389755,339075
389758,342800
389761,346981
389765,348042
389768,345985
389771,343054
389774,341449
389777,341890
389780,344105
389783,345396
389787,344321
389790,342160
389793,340707
389796,341302
389799,343593
389802,345682
389805,345969
389809,344702
389812,343209
389815,342390
389818,342801
389821,343538
389824,343449
389827,342780
389831,342493
389834,342554
389837,343301
389840,343806
389843,343115
389846,342536
389849,342965
389853,343810
389856,344057
389859,343290
389862,342435
389865,341312
389868,341477
389871,343402
389875,345189
389878,345576
389881,344453
389884,342320
389887,340803
389890,341140
389893,343075
389897,344956
389900,345577
389903,344294
389906,342601
389909,342036
389912,342999
389915,344778
389918,345151
389922,344048
389925,341951
389928,340776
389931,342293
389934,346556
389937,344571
389940,342580
389944,343311
389947,343360
389950,345361
389953,345986
389956,347489
389959,343532
389962,333121
389966,333860
389969,341271
389972,352644
389975,359435
389978,357206
389981,347401
389984,333638
389988,323599
389991,325794
